@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute outputs-1 numeric

@data
14,'2019/11/12 12:11:24:174',1,0.717489,0.275454,0.729789,0.271299,0.720351,0.268841,0.733756,0.279808,0.699289,0.273364,0.762245,0.354604,0.679087,0.364912,0.788452,0.497043,0.65192,0.476723,0.793586,0.60223,0.644892,0.584116,0.750383,0.587078,0.688925,0.581692,0.74978,0.754882,0.700357,0.753271,0.761676,0.862941,0.7006,0.853254,?
15,'2019/11/12 12:11:24:190',1,0.717489,0.275454,0.729789,0.271299,0.720351,0.268841,0.733756,0.279808,0.699289,0.273364,0.762245,0.354604,0.679087,0.364912,0.788452,0.497043,0.65192,0.476723,0.793586,0.60223,0.644892,0.584116,0.750383,0.587078,0.688925,0.581692,0.74978,0.754882,0.700357,0.753271,0.761676,0.862941,0.7006,0.853254,?
16,'2019/11/12 12:11:24:207',1,0.717489,0.275454,0.729789,0.271299,0.720351,0.268841,0.733756,0.279808,0.699289,0.273364,0.762245,0.354604,0.679087,0.364912,0.788452,0.497043,0.65192,0.476723,0.793586,0.60223,0.644892,0.584116,0.750383,0.587078,0.688925,0.581692,0.74978,0.754882,0.700357,0.753271,0.761676,0.862941,0.7006,0.853254,?
17,'2019/11/12 12:11:24:224',1,0.717489,0.275454,0.729789,0.271299,0.720351,0.268841,0.733756,0.279808,0.699289,0.273364,0.762245,0.354604,0.679087,0.364912,0.788452,0.497043,0.65192,0.476723,0.793586,0.60223,0.644892,0.584116,0.750383,0.587078,0.688925,0.581692,0.74978,0.754882,0.700357,0.753271,0.761676,0.862941,0.7006,0.853254,?
18,'2019/11/12 12:11:24:242',1,0.717489,0.275454,0.729789,0.271299,0.720351,0.268841,0.733756,0.279808,0.699289,0.273364,0.762245,0.354604,0.679087,0.364912,0.788452,0.497043,0.65192,0.476723,0.793586,0.60223,0.644892,0.584116,0.750383,0.587078,0.688925,0.581692,0.74978,0.754882,0.700357,0.753271,0.761676,0.862941,0.7006,0.853254,?
19,'2019/11/12 12:11:24:256',1,0.717489,0.275454,0.729789,0.271299,0.720351,0.268841,0.733756,0.279808,0.699289,0.273364,0.762245,0.354604,0.679087,0.364912,0.788452,0.497043,0.65192,0.476723,0.793586,0.60223,0.644892,0.584116,0.750383,0.587078,0.688925,0.581692,0.74978,0.754882,0.700357,0.753271,0.761676,0.862941,0.7006,0.853254,?
20,'2019/11/12 12:11:24:275',1,0.736531,0.277199,0.739885,0.266777,0.738751,0.265664,0.737403,0.280628,0.720595,0.277628,0.769983,0.370476,0.678091,0.367911,0.787759,0.501687,0.64327,0.485742,0.791549,0.604497,0.648844,0.596275,0.746731,0.590343,0.68802,0.583954,0.745668,0.768309,0.692165,0.762538,0.760794,0.878479,0.697557,0.874693,?
21,'2019/11/12 12:11:24:292',1,0.736531,0.277199,0.739885,0.266777,0.738751,0.265664,0.737403,0.280628,0.720595,0.277628,0.769983,0.370476,0.678091,0.367911,0.787759,0.501687,0.64327,0.485742,0.791549,0.604497,0.648844,0.596275,0.746731,0.590343,0.68802,0.583954,0.745668,0.768309,0.692165,0.762538,0.760794,0.878479,0.697557,0.874693,?
22,'2019/11/12 12:11:24:309',1,0.736531,0.277199,0.739885,0.266777,0.738751,0.265664,0.737403,0.280628,0.720595,0.277628,0.769983,0.370476,0.678091,0.367911,0.787759,0.501687,0.64327,0.485742,0.791549,0.604497,0.648844,0.596275,0.746731,0.590343,0.68802,0.583954,0.745668,0.768309,0.692165,0.762538,0.760794,0.878479,0.697557,0.874693,?
23,'2019/11/12 12:11:24:331',1,0.736531,0.277199,0.739885,0.266777,0.738751,0.265664,0.737403,0.280628,0.720595,0.277628,0.769983,0.370476,0.678091,0.367911,0.787759,0.501687,0.64327,0.485742,0.791549,0.604497,0.648844,0.596275,0.746731,0.590343,0.68802,0.583954,0.745668,0.768309,0.692165,0.762538,0.760794,0.878479,0.697557,0.874693,?
24,'2019/11/12 12:11:24:340',1,0.736531,0.277199,0.739885,0.266777,0.738751,0.265664,0.737403,0.280628,0.720595,0.277628,0.769983,0.370476,0.678091,0.367911,0.787759,0.501687,0.64327,0.485742,0.791549,0.604497,0.648844,0.596275,0.746731,0.590343,0.68802,0.583954,0.745668,0.768309,0.692165,0.762538,0.760794,0.878479,0.697557,0.874693,?
25,'2019/11/12 12:11:24:359',1,0.736531,0.277199,0.739885,0.266777,0.738751,0.265664,0.737403,0.280628,0.720595,0.277628,0.769983,0.370476,0.678091,0.367911,0.787759,0.501687,0.64327,0.485742,0.791549,0.604497,0.648844,0.596275,0.746731,0.590343,0.68802,0.583954,0.745668,0.768309,0.692165,0.762538,0.760794,0.878479,0.697557,0.874693,?
26,'2019/11/12 12:11:24:373',1,0.736531,0.277199,0.739885,0.266777,0.738751,0.265664,0.737403,0.280628,0.720595,0.277628,0.769983,0.370476,0.678091,0.367911,0.787759,0.501687,0.64327,0.485742,0.791549,0.604497,0.648844,0.596275,0.746731,0.590343,0.68802,0.583954,0.745668,0.768309,0.692165,0.762538,0.760794,0.878479,0.697557,0.874693,?
27,'2019/11/12 12:11:24:391',1,0.736531,0.277199,0.739885,0.266777,0.738751,0.265664,0.737403,0.280628,0.720595,0.277628,0.769983,0.370476,0.678091,0.367911,0.787759,0.501687,0.64327,0.485742,0.791549,0.604497,0.648844,0.596275,0.746731,0.590343,0.68802,0.583954,0.745668,0.768309,0.692165,0.762538,0.760794,0.878479,0.697557,0.874693,?
28,'2019/11/12 12:11:24:408',1,0.736531,0.277199,0.739885,0.266777,0.738751,0.265664,0.737403,0.280628,0.720595,0.277628,0.769983,0.370476,0.678091,0.367911,0.787759,0.501687,0.64327,0.485742,0.791549,0.604497,0.648844,0.596275,0.746731,0.590343,0.68802,0.583954,0.745668,0.768309,0.692165,0.762538,0.760794,0.878479,0.697557,0.874693,?
29,'2019/11/12 12:11:24:422',1,0.736531,0.277199,0.739885,0.266777,0.738751,0.265664,0.737403,0.280628,0.720595,0.277628,0.769983,0.370476,0.678091,0.367911,0.787759,0.501687,0.64327,0.485742,0.791549,0.604497,0.648844,0.596275,0.746731,0.590343,0.68802,0.583954,0.745668,0.768309,0.692165,0.762538,0.760794,0.878479,0.697557,0.874693,?
30,'2019/11/12 12:11:24:442',1,0.736531,0.277199,0.739885,0.266777,0.738751,0.265664,0.737403,0.280628,0.720595,0.277628,0.769983,0.370476,0.678091,0.367911,0.787759,0.501687,0.64327,0.485742,0.791549,0.604497,0.648844,0.596275,0.746731,0.590343,0.68802,0.583954,0.745668,0.768309,0.692165,0.762538,0.760794,0.878479,0.697557,0.874693,?
31,'2019/11/12 12:11:24:458',1,0.736531,0.277199,0.739885,0.266777,0.738751,0.265664,0.737403,0.280628,0.720595,0.277628,0.769983,0.370476,0.678091,0.367911,0.787759,0.501687,0.64327,0.485742,0.791549,0.604497,0.648844,0.596275,0.746731,0.590343,0.68802,0.583954,0.745668,0.768309,0.692165,0.762538,0.760794,0.878479,0.697557,0.874693,?
32,'2019/11/12 12:11:24:476',1,0.72113,0.271142,0.735732,0.267039,0.728905,0.264154,0.734898,0.279715,0.718809,0.27858,0.760989,0.354439,0.677984,0.365998,0.790994,0.498141,0.646333,0.485788,0.801658,0.591183,0.649102,0.586371,0.747734,0.589281,0.688551,0.584075,0.745815,0.762279,0.694876,0.758626,0.757375,0.865857,0.699017,0.860609,?
33,'2019/11/12 12:11:24:492',1,0.72113,0.271142,0.735732,0.267039,0.728905,0.264154,0.734898,0.279715,0.718809,0.27858,0.760989,0.354439,0.677984,0.365998,0.790994,0.498141,0.646333,0.485788,0.801658,0.591183,0.649102,0.586371,0.747734,0.589281,0.688551,0.584075,0.745815,0.762279,0.694876,0.758626,0.757375,0.865857,0.699017,0.860609,?
34,'2019/11/12 12:11:24:507',1,0.72113,0.271142,0.735732,0.267039,0.728905,0.264154,0.734898,0.279715,0.718809,0.27858,0.760989,0.354439,0.677984,0.365998,0.790994,0.498141,0.646333,0.485788,0.801658,0.591183,0.649102,0.586371,0.747734,0.589281,0.688551,0.584075,0.745815,0.762279,0.694876,0.758626,0.757375,0.865857,0.699017,0.860609,?
35,'2019/11/12 12:11:24:525',1,0.72113,0.271142,0.735732,0.267039,0.728905,0.264154,0.734898,0.279715,0.718809,0.27858,0.760989,0.354439,0.677984,0.365998,0.790994,0.498141,0.646333,0.485788,0.801658,0.591183,0.649102,0.586371,0.747734,0.589281,0.688551,0.584075,0.745815,0.762279,0.694876,0.758626,0.757375,0.865857,0.699017,0.860609,?
36,'2019/11/12 12:11:24:540',1,0.72113,0.271142,0.735732,0.267039,0.728905,0.264154,0.734898,0.279715,0.718809,0.27858,0.760989,0.354439,0.677984,0.365998,0.790994,0.498141,0.646333,0.485788,0.801658,0.591183,0.649102,0.586371,0.747734,0.589281,0.688551,0.584075,0.745815,0.762279,0.694876,0.758626,0.757375,0.865857,0.699017,0.860609,?
37,'2019/11/12 12:11:24:558',1,0.72113,0.271142,0.735732,0.267039,0.728905,0.264154,0.734898,0.279715,0.718809,0.27858,0.760989,0.354439,0.677984,0.365998,0.790994,0.498141,0.646333,0.485788,0.801658,0.591183,0.649102,0.586371,0.747734,0.589281,0.688551,0.584075,0.745815,0.762279,0.694876,0.758626,0.757375,0.865857,0.699017,0.860609,?
38,'2019/11/12 12:11:24:573',1,0.72113,0.271142,0.735732,0.267039,0.728905,0.264154,0.734898,0.279715,0.718809,0.27858,0.760989,0.354439,0.677984,0.365998,0.790994,0.498141,0.646333,0.485788,0.801658,0.591183,0.649102,0.586371,0.747734,0.589281,0.688551,0.584075,0.745815,0.762279,0.694876,0.758626,0.757375,0.865857,0.699017,0.860609,?
